ISSN,IMPACT_FACTOR
1099-498X,1.6469999999999998
1099-498X,1.6469999999999998
1099-498X,1.6469999999999998
0022-1325,0.9179999999999999
1941-4889,0.561
1941-4889,0.561
2169-897X,3.38
1090-0241,3.305
0899-9457,1.423
1744-3121,1.0
1615-5262,1.6580000000000001
0219-6220,1.755
1368-2822,1.508
1534-7346,1.212
1748-1317,0.8370000000000001
1868-8071,2.6919999999999997
1387-3806,1.8259999999999998
1345-4676,0.484
0340-0204,1.633
0218-8635,1.4909999999999999
0938-8974,2.108
0892-7219,1.044
1755-876X,2.0669999999999997
1471-2342,1.635
1472-6831,1.6019999999999999
2044-6055,2.4130000000000003
0046-9939,0.348
0268-3369,4.497
1512-8601,1.432
2381-8107,1.3419999999999999
1121-760X,2.217
1611-4426,0.59
1434-1948,2.5069999999999997
0935-1221,1.19
1351-5101,4.621
1090-3798,2.362
1879-4912,1.295
0929-1873,1.466
1101-1262,2.782
1078-5884,3.877
1616-5187,3.392
1438-7492,2.69
1438-7492,2.69
1862-832X,1.567
0024-9297,5.914
1405-0471,0.493
0749-1581,1.776
0730-725X,2.5639999999999996
0938-8990,2.687
0045-6535,4.427
0009-3157,2.0
0012-3692,7.652
1475-357X,1.5930000000000002
2153-2168,2.532
0392-839X,0.396
0392-839X,0.396
1756-137X,0.718
1673-5447,1.514
0890-5487,0.674
0890-5487,0.674
1008-6234,0.325
1002-0063,1.114
0253-9837,3.525
0304-4920,0.8270000000000001
0967-3849,2.909
1479-9723,2.275
0103-8478,0.525
1079-5014,3.054
0364-9024,0.685
0380-1330,2.354
0380-1330,2.354
0957-3720,0.54
0304-3894,6.434
1129-2369,3.403
1005-3867,0.39399999999999996
1748-7188,1.536
0269-2813,7.357
0344-5062,0.22
1758-9193,5.015
1533-3175,1.6019999999999999
1059-0889,1.1179999999999999
1059-0889,1.1179999999999999
1175-0561,3.0180000000000002
0735-6757,1.29
1064-7481,3.48
0740-3224,2.048
1070-9762,0.392
0904-2512,2.237
1091-9392,1.421
0022-328X,1.946
0190-6011,3.09
1749-799X,1.61
1842-2403,0.618
1178-7090,2.645
0030-9982,0.718
2095-3836,2.6319999999999997
0552-9360,0.667
0921-2728,2.168
0022-3360,1.3530000000000002
0825-8597,0.882
1077-4114,1.06
0277-2116,2.752
0277-2116,2.752
0882-5963,1.8
0882-5963,1.8
1015-9584,1.895
1976-1317,0.9179999999999999
0144-5154,1.383
2213-1337,2.7539999999999996
2213-1337,2.7539999999999996
0927-6505,3.2030000000000003
0924-977X,4.129
0903-1936,12.242
1176-9343,1.8769999999999998
1038-4871,0.889
0959-3020,0.568
0021-2148,2.6069999999999998
0748-5492,1.03
2038-1719,1.7309999999999999
1125-0003,0.597
0001-4966,1.605
0009-7411,0.42700000000000005
0009-739X,0.841
1942-325X,5.664
0264-9381,3.283
0264-9381,3.283
0009-8604,1.825
0009-8558,1.219
1618-954X,2.3369999999999997
1618-954X,2.3369999999999997
1863-0650,1.338
0930-7575,3.7739999999999996
1814-9324,3.174
0165-0009,3.537
1076-0296,1.8519999999999999
0888-7543,2.91
0276-0460,1.733
1010-6049,1.7590000000000001
1010-6049,1.7590000000000001
1897-1695,1.119
1695-6133,0.6920000000000001
0016-7568,2.3409999999999997
1075-7015,0.629
1641-7291,1.128
0149-0451,1.433
0169-555X,3.3080000000000003
1827-1987,1.225
1072-6349,2.406
0149-6115,1.2790000000000001
0016-8521,1.1340000000000001
0266-1144,3.715
0196-6553,1.929
1552-4868,3.822
0002-9378,5.732
0894-9115,1.8430000000000002
0363-6143,3.4539999999999997
0193-1849,4.018
1478-422X,1.071
0334-6005,1.66
1631-0705,2.6460000000000004
0090-3493,6.63
0279-5442,1.7069999999999999
1040-8347,3.2310000000000003
1064-3389,7.683
0743-4863,2.414
1845-5719,1.714
0011-216X,0.517
0011-2240,2.05
0011-2275,1.196
0181-1568,1.114
1290-0796,1.169
1936-2447,1.213
0161-1194,0.326
1466-8033,3.304
0021-9150,4.467
1352-2310,3.708
0705-5900,1.195
0195-5373,1.123
0300-8495,0.79
0004-9158,1.115
1448-7527,0.935
0310-0049,1.2690000000000001
0045-0766,1.8230000000000002
0379-5292,0.552
0747-4938,1.218
0266-4666,1.069
0963-9292,1.9869999999999999
0963-9292,1.9869999999999999
1346-8014,1.1340000000000001
2005-7806,1.1440000000000001
0021-8502,2.281
0893-1321,1.296
0165-0327,3.786
1085-7117,1.072
0931-2250,2.571
1096-2247,1.742
0219-4988,0.6
2213-2198,6.966
0091-6749,13.258
0890-8567,6.25
0256-1115,2.199
2234-7518,1.617
1226-7988,0.94
1340-6116,0.478
1473-0197,5.995
1473-0197,5.995
0458-6859,0.5
1860-1871,0.815
0197-4572,1.541
0304-324X,3.532
0017-0895,0.442
0021-9924,1.696
0021-9975,1.364
0021-9975,1.364
0340-7594,1.97
0340-7594,1.97
0363-8715,1.2919999999999998
1066-5277,1.1909999999999998
0887-3801,1.798
1061-8600,1.79
1000-9000,0.878
1877-7503,1.925
1064-2307,0.5539999999999999
0143-974X,2.509
1529-7322,3.449
1573-4099,0.77
0271-3683,2.12
1558-8211,2.388
1573-4056,0.299
0018-9294,4.288
2379-8920,1.952
0090-6778,4.671
1063-6536,4.883
1530-4388,1.5119999999999998
0018-9375,1.52
1939-1412,1.869
0278-0046,7.05
1524-9050,4.051
1041-4347,2.775
0018-9464,1.4669999999999999
0278-0062,6.131
1932-4537,3.286
1534-4320,3.972
1536-8378,1.36
1567-4223,2.582
1083-6489,0.9009999999999999
1392-1215,1.088
2050-084X,7.6160000000000005
2090-2840,0.519
0158-4197,1.069
2303-9027,3.323
0196-8904,6.377000000000001
1386-5056,2.957
1521-9437,1.2109999999999999
1478-5951,1.472
0169-2046,4.994
0196-8092,2.7260000000000004
0326-2383,0.401
1543-4494,1.4340000000000002
0006-8055,0.9890000000000001
0006-8101,2.5
1916-2790,1.178
0006-8950,10.84
2162-3279,2.219
2162-3279,2.219
1015-6305,6.187
1935-861X,6.12
0896-0267,2.7030000000000003
1433-7398,2.535
0022-0124,0.82
1475-7516,5.126
1010-5182,1.96
0278-0372,1.119
0933-2790,1.056
1569-1993,3.858
0022-0299,1.17
1063-8016,0.231
1544-3566,1.131
2157-6904,2.9730000000000003
1551-6857,2.019
1948-5875,3.7939999999999996
1936-0851,13.709000000000001
1936-0851,13.709000000000001
0139-3006,0.384
0236-5383,0.439
0102-3306,0.8170000000000001
1011-6842,0.927
0567-7351,2.735
1318-0207,1.104
0018-9529,2.7289999999999996
1949-3029,6.235
1077-2626,3.0780000000000003
1063-8210,1.744
1556-6072,6.037999999999999
1536-1284,9.202
0916-8516,1.09
1745-1353,0.516
1053-2498,7.955
1868-9256,0.447
1029-8479,5.541
0022-1554,2.8160000000000003
1553-5592,2.331
1084-0699,1.5759999999999998
1524-9557,3.826
0218-3013,1.615
1422-0067,3.687
0301-9322,2.592
1475-7435,0.512
1461-1457,3.9810000000000003
1461-1457,3.9810000000000003
1565-1339,1.162
1705-5105,0.667
0029-5981,2.591
1879-9817,0.9
1879-9817,0.9
2213-2244,2.7769999999999997
2474-8668,1.1440000000000001
1110-662X,1.547
0308-0161,1.5430000000000001
1519-6984,0.784
1661-3791,2.028
1075-122X,2.424
0960-1643,3.261
0960-1643,3.261
0266-4356,1.26
0007-1420,3.3560000000000003
0007-196X,0.807
0143-6244,1.1
1996-3599,1.673
0305-4179,2.134
1777-5949,0.809
0364-5916,1.935
1522-0613,0.612
2059-7983,3.0989999999999998
2053-230X,0.9890000000000001
2053-230X,0.9890000000000001
1330-027X,1.054
0873-9749,1.625
0044-5991,0.872
0137-1592,0.708
0168-9673,0.273
0001-5962,2.44
0567-7718,1.545
0894-9166,1.149
0386-300X,0.562
1217-8950,1.107
0798-4545,0.28600000000000003
1335-1788,0.973
0300-9009,2.072
0009-9147,8.636000000000001
1359-1045,1.705
1359-1045,1.705
1550-0594,1.807
0300-0664,3.077
0392-856X,3.201
1178-1998,2.505
1092-1095,0.8809999999999999
1050-642X,2.224
0722-5091,1.015
1738-1088,2.09
1547-5816,0.9940000000000001
1367-5435,3.103
1528-0837,1.2830000000000001
1341-321X,1.777
1341-321X,1.777
1866-6892,1.6769999999999998
0162-0134,3.063
1574-1443,1.754
0022-1910,2.733
1758-2652,5.131
1355-6177,2.7769999999999997
1046-7408,2.745
1073-449X,15.239
1943-8141,3.0610000000000004
0003-0031,0.7140000000000001
0003-0031,0.7140000000000001
0044-7447,3.616
0002-7014,1.5190000000000001
0211-1322,0.5
1224-1784,0.452
0310-057X,1.702
0219-5305,1.787
0003-2700,6.042000000000001
0003-2719,1.206
0910-6340,1.355
0939-2661,0.262
1060-152X,0.61
0887-3828,1.197
0300-5577,1.558
0300-5577,1.558
0893-2190,0.9490000000000001
1348-589X,1.0170000000000001
0920-4105,2.3819999999999997
1567-567X,2.1959999999999997
1347-8613,2.575
0022-3646,3.0
1089-5639,2.8360000000000003
1880-6805,1.4869999999999999
0867-5910,2.478
0971-7811,0.774
0971-7811,0.774
1436-8730,2.1630000000000003
1436-8730,2.1630000000000003
0918-9440,2.0
1380-2224,1.858
1088-4246,1.217
0361-073X,1.065
0014-4797,1.68
0891-6152,1.6869999999999998
0014-4851,2.319
1226-2560,3.81
0894-1777,3.2039999999999997
0940-2993,2.023
1471-2598,3.9739999999999998
1742-5255,3.1510000000000002
1478-7210,3.141
1473-7140,2.347
0266-4720,1.43
0263-2136,1.675
0263-2136,1.675
1873-3468,2.9989999999999997
2211-5463,1.7819999999999998
1551-3815,0.59
2380-0186,1.9869999999999999
1546-2218,0.4
1871-5273,2.084
1755-5930,3.495
1758-8928,3.417
0721-832X,2.249
1524-0703,1.0190000000000001
1744-6961,0.629
1751-8253,3.364
1751-8253,3.364
2049-1220,1.344
2152-3878,1.9909999999999999
1069-3629,1.6480000000000001
1096-6374,2.369
1430-483X,0.6920000000000001
0090-8258,4.54
0090-8258,4.54
2468-1229,0.308
0093-0334,1.472
0278-2715,4.843
1460-4582,1.8330000000000002
1460-4582,1.8330000000000002
0962-7286,1.5730000000000002
1300-0861,0.22399999999999998
2300-8733,1.018
0090-6964,3.405
0365-0812,0.882
0305-7364,3.6460000000000004
1092-9134,1.633
1286-4560,2.3569999999999998
1566-5240,2.254
1528-4042,3.478
0957-9672,3.853
1040-8711,4.277
1359-0286,6.547999999999999
1879-6257,5.644
1389-2010,1.819
0147-0272,1.609
1537-890X,1.442
1574-888X,2.168
0011-4162,1.167
1052-3928,1.3130000000000002
1566-0702,2.605
1712-6568,1.436
0007-4853,1.7209999999999999
0007-4861,1.48
0024-6093,0.741
0126-6705,0.84
1405-3322,0.53
0392-4432,0.154
1079-8986,0.613
2146-3123,0.887
0005-6650,0.47700000000000004
0304-4165,3.679
1388-1981,4.966
1744-9081,2.449
0166-4328,3.173
2327-6886,1.136
0002-7863,14.357000000000001
0735-1097,16.834
0002-8177,2.4859999999999998
0002-8614,4.155
0002-9726,0.6990000000000001
0894-0347,4.625
8756-971X,0.8270000000000001
0361-0470,0.88
0003-1062,0.816
1093-474X,2.16
1868-5137,1.423
0021-7670,0.5920000000000001
2090-8865,1.262
0146-4760,2.5989999999999998
0305-7453,5.2170000000000005
2280-8000,1.3969999999999998
1214-021X,1.7830000000000001
1439-040X,1.115
0931-2048,1.629
1234-1983,1.756
1234-1983,1.756
0926-9851,1.646
1041-3200,2.092
0168-8510,2.293
1477-7525,2.278
0378-5955,2.824
1355-6037,5.42
0147-9563,1.73
0367-598X,0.591
0363-0269,0.462
2040-1744,2.215
0022-0396,1.7819999999999998
0253-4126,0.89
1095-0680,1.896
0374-3535,1.65
0095-2443,0.7829999999999999
0011-4642,0.34
1958-5586,1.982
1384-5810,2.481
1420-8008,2.886
1751-9659,1.401
1751-8741,2.059
1752-1416,3.488
1752-1416,3.488
1751-8806,0.9470000000000001
0256-4602,1.339
2228-6179,0.519
1084-2020,2.6189999999999998
0262-8856,2.1590000000000003
0105-2896,9.217
0943-9692,0.138
1071-2690,1.4469999999999998
0036-8792,0.763
1222-5347,0.43799999999999994
0367-6722,0.201
0301-1208,0.385
0896-4289,2.4419999999999997
0955-8810,1.854
0170-6233,0.188
1556-7036,0.555
1556-7249,0.976
0973-0826,2.658
0952-1976,2.819
0177-0667,1.9509999999999998
0264-4401,1.177
0264-4401,1.177
0969-9988,1.6130000000000002
1350-6307,2.157
0013-8029,0.19399999999999998
1751-7575,1.683
1343-8786,1.069
1610-3653,3.125
0146-6623,0.275
1226-8615,0.875
1346-7581,0.31
0090-3973,0.669
1880-5566,0.42100000000000004
1556-0864,10.335999999999999
0143-9782,0.826
0946-672X,3.755
0889-504X,2.4530000000000003
1071-1023,1.314
0741-5214,3.2939999999999996
1100-9233,2.658
1021-447X,0.6
1069-4730,1.976
1146-609X,1.615
0001-6454,1.023
0001-6489,1.161
0103-2100,0.46299999999999997
0231-424X,1.064
1000-3304,0.6559999999999999
0324-0770,0.369
0001-7272,1.074
0360-1293,0.435
1570-8705,3.1510000000000002
1059-7123,1.0
1355-6215,5.577999999999999
0965-2140,5.952999999999999
0263-6174,0.609
0065-2113,5.073
2070-0733,0.636
0378-6323,2.229
0971-4588,0.5429999999999999
0971-5916,1.508
0019-5464,0.35100000000000003
0973-1458,0.9670000000000001
1392-124X,0.8
0897-3962,0.489
0733-9437,1.6159999999999999
0218-2165,0.45799999999999996
1738-2203,1.129
1073-1105,0.986
0091-6765,8.309
0091-6765,8.309
1476-069X,4.376
0269-7491,4.3580000000000005
1748-9326,4.541
1208-6053,3.3280000000000003
2051-8153,6.087000000000001
2050-7887,2.491
2053-1400,3.6489999999999996
0167-8760,2.8680000000000003
0020-7608,2.568
0020-7608,2.568
0140-7007,3.233
0342-5282,1.432
1542-0973,1.368
1001-6279,1.659
1552-6283,0.7929999999999999
0020-7683,2.5660000000000003
1678-9199,1.7819999999999998
0916-7250,0.8029999999999999
1229-845X,1.327
2321-3558,0.615
1712-9532,1.271
1195-9479,1.3519999999999999
0008-4433,0.789
1535-6108,22.844
0344-5704,2.8080000000000003
0304-3835,6.4910000000000005
1179-1322,3.702
0162-220X,1.844
2072-6694,5.3260000000000005
0065-2415,0.25
0219-5259,0.769
1019-7168,1.439
1582-7445,0.6990000000000001
1614-6832,21.875
1616-301X,13.325
1616-301X,13.325
0065-2687,4.5
1382-4996,2.552
2192-2640,5.609
2192-2640,5.609
0065-2725,3.071
0010-0757,1.035
1322-7696,1.153
1657-9534,0.767
1462-8910,2.778
1364-7830,1.744
0001-0782,3.063
1019-8385,0.7390000000000001
1007-5704,3.181
0010-3640,3.386
0010-3624,0.54
0010-3624,0.54
0361-0926,0.353
0304-8853,3.0460000000000003
1083-3021,2.963
0742-597X,2.282
1593-5213,1.205
0260-3055,2.761
1424-0637,1.74
1665-2681,1.5759999999999998
0003-4819,19.384
0373-3114,1.0659999999999998
0250-6807,3.051
0003-4878,1.615
0256-4947,0.633
0066-4154,20.154
1941-1413,9.523
0020-7721,2.185
0957-7572,1.339
0267-5730,0.8690000000000001
1091-5818,1.504
2152-5080,0.9670000000000001
0020-8132,1.496
0269-8811,4.738
0197-5897,1.375
0022-4073,2.6
1976-4251,1.432
0891-2556,0.9470000000000001
1664-3828,2.221
1475-2840,5.235
1869-408X,1.4509999999999998
1995-1892,1.128
0008-6363,6.29
1584-2851,0.878
2044-4753,5.365
0920-5861,4.667
0923-2958,2.121
1085-9195,1.455
1071-5797,1.077
1933-9747,1.756
0090-0656,1.216
0388-788X,0.644
0920-1742,1.735
1050-4648,3.185
1050-4648,3.185
0363-2415,2.734
0882-5734,1.95
1936-6582,2.346
0367-2530,1.365
0955-5986,1.4069999999999998
0219-4775,0.625
0015-4725,1.4380000000000002
0015-5632,1.311
0015-5632,1.311
1944-0049,2.129
1944-0049,2.129
1557-1858,2.051
0278-6915,3.977
1064-590X,0.5429999999999999
0147-9571,1.92
1532-0820,0.585
0332-1649,0.534
0263-8223,4.101
2040-4603,5.797000000000001
0010-440X,2.128
0167-8396,1.5219999999999998
0268-0130,1.268
0793-0283,0.7
1527-0297,1.854
0018-1544,0.544
1050-9631,3.966
2059-2302,2.5580000000000003
1532-0073,0.711
1024-9079,0.20199999999999999
0018-506X,4.418
0066-4286,9.527999999999999
1941-1340,2.022
2374-4642,5.14
0954-1020,1.3940000000000001
0954-1020,1.3940000000000001
0003-5599,0.46
0142-694X,2.133
0145-305X,2.9130000000000003
0949-944X,2.125
0949-944X,2.125
0378-5866,2.133
0378-5866,2.133
0012-1630,2.494
0149-5992,13.397
1861-7603,0.085
1520-9156,2.9210000000000003
8755-1039,1.014
0732-8893,2.3409999999999997
1746-1596,2.396
0269-249X,1.0
0915-5635,3.375
0278-0240,2.949
0952-4746,1.274
0148-6055,2.969
0022-4391,1.935
1521-6926,1.849
0006-291X,2.559
0829-8211,2.25
0829-8211,2.25
0305-1978,0.847
0300-9084,3.188
1389-9341,2.496
0015-749X,1.364
0925-9856,0.825
0720-4299,0.395
0720-4299,0.395
1311-0454,2.865
0218-348X,1.629
1536-9323,2.839
0167-7764,1.7080000000000002
0167-7764,1.7080000000000002
0168-7433,1.321
0908-8857,2.488
1751-3758,1.5759999999999998
0920-5063,1.911
0885-3282,2.082
2157-9083,0.7809999999999999
1532-0464,2.8819999999999997
1552-4973,3.373
1083-3668,2.367
1083-3668,2.367
0018-5345,0.83
1063-0198,0.573
1365-182X,3.1310000000000002
2324-8637,2.431
1946-6536,2.3
0737-0806,0.88
1041-2905,1.0070000000000001
0378-8741,3.115
0022-0981,1.99
0022-1007,10.79
2329-8456,1.861
1559-0631,3.083
1539-6509,2.398
1078-0947,0.976
1026-0226,0.757
1234-3099,0.601
0141-9382,1.175
0012-4486,2.362
0012-5008,0.58
1064-5624,0.534
0012-5016,0.597
0891-5520,5.449
0219-0257,0.6890000000000001
1023-3830,2.99
0360-3997,2.884
0360-3997,2.884
1750-2640,2.9539999999999997
0315-5986,0.257
0020-0190,0.7929999999999999
0120-5609,0.455
0393-1420,1.7690000000000001
1353-8047,2.42
1995-0829,0.36
2044-2041,1.663
1466-8564,3.116
0962-1075,2.492
1354-2575,0.754
0964-8305,3.562
0960-3115,2.8280000000000003
1173-8804,3.825
1758-5082,6.837999999999999
0892-7014,2.786
1932-104X,3.3760000000000003
1367-4803,5.481
1934-8630,2.455
0791-7945,0.69
0006-3363,3.1839999999999997
0163-4984,2.3609999999999998
1045-1056,1.8719999999999999
1752-0363,2.346
1617-7959,3.2119999999999997
1748-6041,2.897
1748-6041,2.897
2314-6133,2.583
1932-1058,2.571
1520-4081,2.491
0013-9157,2.963
1750-1911,4.979
2212-1366,3.5
1806-3713,1.5319999999999998
1940-1493,2.603
1107-0625,1.766
0735-0015,2.115
0885-8195,1.547
1477-8920,1.3519999999999999
0003-7214,1.179
0895-3996,1.381
1673-565X,1.215
1936-878X,10.247
2211-0682,2.6319999999999997
2168-6106,19.989
2168-6203,10.769
1525-3961,2.716
0003-1488,1.508
1022-386X,0.439
2291-5222,4.541
0884-2175,1.473
1297-319X,3.304
1047-4838,2.145
1940-087X,1.1840000000000002
0021-4922,1.452
0916-7005,0.5660000000000001
1471-1893,2.0269999999999997
1471-1893,2.0269999999999997
0734-9041,1.296
0140-7775,2.004
1944-687X,0.598
1053-0509,1.665
0022-1139,1.879
0161-9268,0.8220000000000001
0065-3160,1.875
0730-6679,2.073
1854-6250,1.5959999999999999
0065-3276,0.938
1527-7941,1.3769999999999998
1527-7941,1.3769999999999998
1816-112X,0.737
1816-112X,0.737
1369-4332,0.968
0741-238X,3.085
1680-8584,2.589
0278-6826,2.0
1434-8411,2.115
0001-9704,0.207
1680-6905,0.8420000000000001
2305-7963,0.6
1562-7020,0.7609999999999999
1368-5538,2.5
1360-7863,2.6630000000000003
1746-4358,2.3
0268-1315,2.2840000000000003
0735-1933,4.463
0020-6814,2.875
0164-7954,1.008
1027-5851,0.375
1027-5851,0.375
0161-4754,1.426
1744-5647,1.6
2050-750X,4.776
1476-7058,1.493
0022-247X,1.138
1846-579X,0.8490000000000001
0219-0613,1.222
2190-8567,2.414
0022-2496,2.176
0021-7824,1.848
0022-250X,0.517
0219-5194,0.875
0022-5096,3.5660000000000003
1096-620X,1.954
2156-7018,0.5489999999999999
1754-9477,1.4780000000000002
0920-1211,2.491
1294-9361,1.5
0295-5075,1.834
0014-0309,0.5589999999999999
1292-8119,1.225
1292-8119,1.225
0071-1365,3.338
1559-2723,2.421
1021-6790,0.256
0394-9370,1.27
1022-6877,2.653
2047-2404,8.336
1161-0301,3.1919999999999997
0265-0215,3.958
0961-5423,2.4090000000000003
0934-9723,2.537
1612-4669,2.4090000000000003
1381-4788,1.41
1381-4788,1.41
1742-7932,1.062
0047-1917,0.688
0022-9032,1.227
0022-9040,0.21
1420-4096,3.0
1331-1441,0.767
0023-2165,0.882
1434-0275,0.158
0968-0160,1.903
0942-2056,3.21
0269-8889,1.07
0219-1377,2.247
0288-4534,1.6380000000000001
1085-9195,1.455
1541-9061,1.875
1931-3128,17.872
1550-4131,20.565
1865-5025,2.435
0262-4893,1.0
2152-4971,1.43
2152-4971,1.43
0958-9465,4.66
1426-3912,1.787
1473-4222,3.199
1933-6950,2.5380000000000003
1612-1872,1.617
0098-6445,1.2819999999999998
1262-022X,0.33299999999999996
0034-8376,1.36
0129-055X,1.125
1870-3453,0.609
0326-3428,0.019
0334-1763,2.59
0034-6667,1.665
0303-4240,3.235
0034-6748,1.4280000000000002
0035-418X,0.759
0035-4511,1.8330000000000002
1462-0324,5.245
0272-4332,2.898
1535-1459,2.0669999999999997
1547-6286,5.216
1453-8245,0.28800000000000003
0035-9475,1.7469999999999999
1066-5285,0.7809999999999999
0094-114X,2.7960000000000003
0957-4158,2.423
2352-3964,6.183
2073-106X,0.6559999999999999
0906-7590,4.52
0906-6691,1.8319999999999999
0304-3800,2.5069999999999997
0012-9658,4.617
1570-677X,2.675
1560-8530,0.8690000000000001
0303-2434,4.003
1558-3058,1.345
0391-3988,1.133
1473-5504,1.921
1473-5504,1.921
1229-9138,1.264
0393-6155,1.449
0393-6155,1.449
2194-573X,0.84
1239-9736,1.055
2210-7703,1.508
0140-0118,1.9709999999999999
0140-0118,1.9709999999999999
0958-3947,0.8859999999999999
0308-0110,4.405
1350-4533,1.923
0025-7818,0.741
0094-2405,2.884
0025-7826,0.172
0025-8628,0.19699999999999998
2040-2503,2.342
1555-7960,0.9
2035-3006,1.183
0960-8931,3.135
2005-8624,1.167
0885-7490,2.441
1756-5901,4.069
1086-9379,2.949
1046-2023,3.998
2050-6120,2.165
2041-210X,6.3629999999999995
0026-1394,2.275
0026-2285,0.519
1750-0443,0.841
1750-0443,0.841
1342-6311,2.476
1350-0872,1.8659999999999999
0036-0236,0.7090000000000001
1021-4437,0.816
1861-6410,1.9609999999999999
1061-8562,0.961
1875-6891,2.0
0142-5463,1.777
0214-6282,1.579
1753-8947,2.7460000000000004
0020-7209,0.593
1610-2940,1.507
0260-1230,1.483
1542-3980,0.43700000000000006
1542-3980,0.43700000000000006
1783-7677,1.14
1058-2452,0.0
1533-4880,1.354
1875-5100,2.803
0022-2933,0.875
1540-1405,6.471
0925-7535,2.835
0091-1062,0.4
1319-562X,3.138
1319-3767,1.52
0346-1238,1.55
1401-7431,1.449
0586-7614,6.944
1947-2935,1.318
0036-8075,41.058
1359-6462,4.163
0167-9317,2.02
2072-666X,2.222
1741-2560,3.92
0022-3042,4.609
0022-3042,4.609
2093-0879,3.438
2193-6315,0.9470000000000001
0022-3069,3.49
0895-0172,1.854
0888-0395,0.945
1933-0707,2.162
1547-5654,2.761
0897-7151,5.002
0365-0340,2.254
0003-9861,3.1180000000000003
1875-2136,2.37
1644-9665,2.763
0101-6083,0.732
1134-3060,6.605
2300-2611,1.545
1933-8244,1.386
0004-0614,0.465
0932-0067,2.2359999999999998
0003-9519,0.583
0188-4409,2.024
0253-6269,2.33
0003-9527,2.448
1523-0430,2.231
0141-9331,1.0490000000000002
0141-9331,1.0490000000000002
2050-5698,1.625
0946-7076,1.581
0946-7076,1.581
0026-2862,2.465
0026-4075,0.782
0924-6495,0.8420000000000001
1025-9112,1.521
0892-6875,2.707
2075-163X,1.835
0026-4946,0.9470000000000001
0899-1987,3.8510000000000004
2468-8231,
0890-8508,1.689
0890-8508,1.689
1177-1062,2.716
0962-1083,6.131
1755-098X,7.059
1755-098X,7.059
1096-7192,3.7739999999999996
0891-4168,0.313
0004-2730,1.515
2326-5191,7.871
2169-1401,3.0260000000000002
0001-2491,0.22
1932-2135,1.238
1008-682X,3.259
0894-3214,1.808
1205-7088,2.3480000000000003
1526-2375,2.782
0031-0182,2.375
0375-0442,1.5
1935-3952,1.41
0883-8305,2.718
0269-2163,3.78
0031-0808,2.102
0167-8191,0.938
1756-3305,3.1630000000000003
1743-8977,6.105
1085-5629,0.973
0740-2570,2.655
0272-8087,4.167
1071-9091,1.8780000000000001
1535-2188,0.8
1053-4296,4.027
0924-4247,2.311
1424-8220,2.475
1542-2119,4.212
1448-5028,1.246
1368-4973,3.346
1070-9622,1.857
0938-1287,1.504
1536-0040,1.486
1536-0040,1.486
0895-4801,0.7170000000000001
1520-9512,2.03
1580-4003,0.25
1613-6810,9.597999999999999
1613-6810,9.597999999999999
1536-1632,3.608
0950-382X,3.8160000000000003
1015-2008,1.5919999999999999
1015-2008,1.5919999999999999
2047-7724,1.703
1219-4956,1.935
1219-4956,1.935
0172-8113,0.555
0031-3025,3.068
1178-1653,2.66
0167-8655,1.952
0888-0018,1.1540000000000001
2047-6310,3.98
0898-5669,0.897
0031-3998,3.123
0179-0358,1.476
0250-4685,0.248
1300-0527,1.3769999999999998
1609-1833,0.488
0041-624X,2.377
0301-5629,2.645
0301-5629,2.645
0960-7692,5.654
1066-2936,0.636
2050-6406,3.477
1083-8155,2.005
0042-207X,2.0669999999999997
0026-8976,1.704
1674-2052,9.326
1040-452X,3.113
1040-452X,3.113
1744-4292,8.5
1420-3049,3.0980000000000003
1609-3321,0.7040000000000001
0027-1349,0.506
2379-5042,3.575
1352-4585,5.28
0940-6360,2.778
1340-3540,1.229
1994-4136,1.838
1793-2920,1.1
2211-2855,13.12
1847-9804,1.73
1743-5889,5.005
1556-7265,3.111
1556-7265,3.111
2055-6756,9.391
1556-276X,3.125
2191-9089,1.9040000000000001
2191-9089,1.9040000000000001
1098-3015,5.494
1537-1891,3.6069999999999998
1530-3667,2.171
1530-3667,2.171
0939-6314,2.2319999999999998
0939-6314,2.2319999999999998
2214-2096,3.2889999999999997
0304-4017,2.4219999999999997
0300-9858,1.795
0042-6822,3.3739999999999997
0303-9021,0.272
0042-9007,2.1069999999999998
1877-2641,1.874
0896-8608,2.009
1741-0541,1.032
0031-5850,8.182
0048-3575,3.44
0965-5441,0.932
0965-5441,0.932
1000-0747,2.065
1529-9074,0.985
1999-4923,3.7460000000000004
1744-6872,2.25
0951-631X,0.473
0038-0121,1.61
0361-6525,0.604
0741-1235,1.0
1744-683X,3.7089999999999996
1619-1366,1.722
0038-0806,1.599
1349-6476,1.069
0167-2738,2.7510000000000003
0038-111X,0.099
0899-0220,1.185
0091-3057,2.5380000000000003
0163-7258,10.376
0176-3679,2.064
0176-3679,2.064
0031-7144,1.016
0141-1594,1.028
0031-7454,0.298
1478-6435,1.632
0031-8019,0.43799999999999994
1364-503X,2.7460000000000004
0031-8655,2.214
0031-868X,1.9169999999999998
0031-868X,1.9169999999999998
1519-1397,0.33299999999999996
1463-9076,3.906
1474-7065,1.923
0956-053X,4.723
0734-242X,1.631
0049-6979,1.7690000000000001
1747-6585,1.224
1201-3080,0.556
0043-1648,2.96
2193-3081,0.7929999999999999
0043-2288,1.206
1022-0038,1.9809999999999999
0929-6212,1.2
1757-7780,5.124
1939-5116,6.35
1561-8633,2.281
1527-6988,1.278
