First Author,Other Authors,Article Title,Date of Publication,Type of Publication,Publication,Volume (issue),ISSN,Archive,References Viewable?,Order Article?,ACL Citations,Keywords,DOI / HTML Address,Journal Impact Factor (uses ResearchGate data),Journal Impact Factor (Clarivate),Search Engine Ranking,Unique Site Visits (monthly),Pages per Visit,Views (Not Including Downloads),Citations,Downloads,"AltMetric (Shares, Likes, Comments)",Date Located,IMPACT_FACTOR
Iowa Department of Elder Affairs,,Healthy Aging Update,2007-12-03 00:00:00,State Document,Iowa Department of Elder Affairs,3(1),,,Yes,,No,"""State Program Reports"" AND ""OAA"" AND ""National Survey of Area Agencies on Aging""",http://publications.iowa.gov/15788/1/FY13_AgingPerformanceReport.pdf,,,,,,,,,,2018-06-27,
"Colello, K. J.",,Older Americans Act: Long-Term Care Ombudsman Program,2012-02-15 00:00:00,State Document,Congressional Research Service,,,Congressional Research Service,Yes,,,"""NORS"" AND ""OAA""",https://www.everycrsreport.com/files/20120215_RS21297_4077145efdcc477bd1a7995876a3a1cddabdef16.pdf,,,503605,55787,1.67,,,,,2018-06-27,
"Sheehan, N. W.",,Bringing Together Housing and Aging Services: The Experiences of Area Agencies on Aging,2998-10-18 00:00:00,Journal,Journal of Aging & Social Policy,7(2),0895-9420,T and F Online,No,,,"""NSOAAP""",https://doi.org/10.1300/J031v07n02_04,1.57,,,,,15.0,2.0,,0.0,2018-06-28,1.5119999999999998
"Napili, A.","Colello, K. J.",Funding for the Older Americans Act and Other Aging Services Programs,2013-02-22 00:00:00,State Document,Congressional Research Service,,,Congressional Research Service,Yes,,"An Unofficial Compilation of the OAA, as Amended in 2006 [AoA, web];
FY 2013 Justification of Estimates for Appropriations Committee [AoA];
Aging Network [AoA, web];
Older Americans Act [AoA, web];
Funding Allocations to State and Tribal Organizations [AoA, web];
FY 2010 Profile of State OAA Programs: United States, Part I [AoA];
2010 State Program Reports (SPR) [Total Counts: Clients Served - All Services: 50 states + DC & Territories];
Compendium of Title IV Grants [AoA, web];
National Ombudsman Reporting System (NORS);
Alzheimer's Disease Demonstration Grants to States Program [AoA, web];
Lifespan Respite Care Program [AoA, web];
""Protecting America's Seniors: The Elder Abuse Prevention Interventions Program"" [AoA, press release]","""AGID"" AND ""ACL""",http://fedweb.com/wp-content/uploads/2016/12/Older-Americans-Act-and-Aging-Services.pdf,,,6179014,"< 5,000",1.75,,,,,2018-06-19,
"Harris-Wehling, J.","Feasley, J. C., & Estes, C. L.",Real People Real Problems: An Evaluation of the Long-Term Care Ombudsman Programs of the Older Americans Act,1995,Book,Institute of Medicine,,,National Academies Press,No,N,,,https://www.nap.edu/read/9059/chapter/1,,,21027,1436000,7.81,,,,,2018-07-05,
"O'Shaughnessy, C.",,Older Americans Act Nutrition Program,2004-04-29 00:00:00,State Document,Congressional Research Service,,,University of North Texas,Yes,,"Serving Elders at Risk: The Older Americans Act Nutrition Programs -- National Evaluation of the Elderly Nutrition Program, 1993-1995 [AoA]","""State Program Reports"" AND ""OAA"" ",https://digital.library.unt.edu/ark:/67531/metacrs9201/m1/1/high_res_d/RS21202_2004Apr29.pdf,,,,98019,3.31,,,,,2018-06-27,
"Miller, E. A.","Intrator, O., Gadbois, E., Gidmark, S., & Rudolph, J. L.",VA Staff Perceptions of Barriers and Facilitators to Home-and-Community-Based Placement Post-Hospital Discharge,2018-04-10 00:00:00,Journal,Journal of Aging & Social Policy,,0895-9420,T and F Online,No,Yes,,,https://doi.org/10.1080/08959420.2018.1444889,1.57,,,,,39.0,0.0,3.0,3.0,2018-07-09,1.5119999999999998
"Kitchener, M.","Willmott, M., Wong, A., & Harrington, C.",Home and Community-Based Services: Federal Funding to States,2007-04-01 00:00:00,Research Brief,Center for Personal Assistance Services,,,ResearchGate,Yes,,No,"""State Program Reports"" AND ""OAA"" ",https://www.researchgate.net/publication/238738970_Home_and_Community-Based_Services_Medicaid_Research_and_Demonstration_Waivers,,,,,,,,,,2018-06-27,
"Starns, M.",,Arizona State Plan on Aging 2015-2018,2014,State Document,Department of Aging and Adult Services,,,Des.az.gov,Yes,,"Aging Integrated Database (AGID);
2013 National Aging Program Information System (NAPIS) State Program Report (SPR)","""NAPIS""",https://des.az.gov/sites/default/files/media/Arizona_State_Plan_on_Aging_2015-2018_Complete_Package%5B1%5D.pdf,,,,241658,2.35,,,,,2018-07-02,
"Thomas, K. S.",,The Relationship Between Older Americans Act In-Home Services and Low-Care Residents in Nursing Homes,2013-12-10 00:00:00,Journal,Journal of Aging and Health,26(2),0898-2643,SAGE Journals,Yes,N,"FY 2010 Report to Congress: Department of Health and Human Services [AoA];
Draft Final Report for the Evaluation of Select Consumer, Program, and System Characteristics under the Supportive Services Program (Title III-B) of the Older Americans Act [AoA, RTI International]","""State Program Reports"" AND ""OAA"" ",https://doi.org/10.1177/0898264313513611,1.57,,,,,263.0,5.0,,5.0,2018-06-27,2.134
"Estes, C. L.","Lohrer, S. P., Goldberg, S., Grossman, B. R., Nelson, M., Koren, M. J., & Hollister, B.",Factors Associated With Perceived Effectiveness of Local Long-Term Care Ombudsman Programs in New York and California,2010-05-21 00:00:00,Journal,Journal of Aging and Health,22(6),0898-2643,SAGE Journals,No,Yes,,"""NORS"" AND ""OAA""",https://doi.org/10.1177/0898264310366737,1.57,,,,,57.0,3.0,,0.0,2018-06-27,2.134
"Ingalls, G. S.","Layton, L. T., & Weitzel, N. B.",Elder Abuse Originating in the Institutional Setting,1998,Book,Elder Law Portfolio,,,Hein Online,No,N,,"""NORS"" AND ""OAA""",https://heinonline.org/HOL/LandingPage?handle=hein.journals/nordak74&div=21&id=&page=,,,51749,631497,,,,,,2018-06-27,
"Sharkey, J. R.","Schoenberg, N. E.",Prospective Study of Black-White Differences in Food Insufficiency Among Homebound Elders,2005-08-01 00:00:00,Journal,Journal of Aging and Health,17(4),0898-2643,SAGE Journals,No,Yes,,"""NAPIS""",https://doi.org/10.1177/0898264305279009,1.57,,,,,22.0,7.0,,3.0,2018-07-02,2.134
"Vieira, E. R.","Vaccaro, J. A., Zarini, G. G., & Huffman, F. G.",Health Indicators of US Older Adults Who Received or Did Not Receive Meals Funded by the Older Americans Act,2017-10-22 00:00:00,Journal,Journal of Aging Research,,2090-2212,Hindawi,Yes,,"Older Americans Benefit from Older Americans Act Nutrition Programs. Research Brief No. 8 [ACL];
Nutrition Services [ACL, web];
A Profile of Older Americans: 2016 [ACL];
Opportunities to Improve Nutrition for Older Adults and Reduce Poor Health Outcomes [ACL]",,https://doi.org/10.1155/2017/2160819,1.53,,,,,799.0,0.0,137.0,,2018-07-05,
"Shenk, D.",,Introduction: Serving the Needs of Rural Elders,1991,Journal,Journal of Aging Studies,5(4),0890-4065,ScienceDirect,No,Yes,,"""NSOAAP""",https://doi.org/10.1016/0890-4065(91)90013-I,1.92,,,,,1.0,,,,2018-06-28,1.228
"Shugrue, N.","Kellet, K., Gruman, C., Tomisek, A., Straker, J., Kunkel, S., & Robison, J.",Progress and Policy Opportunities in Family Caregiver Assessment: Results from a National Survey,2017-09-21 00:00:00,Journal,Journal of Applied Gerontology,,0733-4648,SAGE Journals,Yes,,"Process Evaluation of the Older Americans Act Title III-E National Family Caregiver Support Program: Final Report [ACL, Lewin Group];",,https://doi.org/10.1177/0733464817733104,0.89,,,,,71.0,0.0,,1.0,2018-07-09,1.992
"Hollister, B. A.","Estes, C. L.",Local Long-Term Care Ombudsman Program Effectiveness and the Measurement of Program Resources,2012-03-22 00:00:00,Journal,Journal of Applied Gerontology,32(6),0733-4648,SAGE Journals,No,Yes,,,https://doi.org/10.1177/0733464811434144,0.89,,,,,204.0,2.0,,0.0,2018-07-05,1.992
"Lee, J. S.","Sinnett, S., & Bengle, R.",Unmet Needs for the Older Americans Act Nutrition Program,2010-08-02 00:00:00,Journal,Journal of Applied Gerontology,30(5),0733-4648,SAGE Journals,No,"""Performance Outcomes Measures Project""",,,https://doi.org/10.1177/0733464810376512,0.89,,,,,338.0,26.0,,1.0,2018-07-20,1.992
"Porter, K.","Keary, S., VanWagenen, A., & Bradford, J",Social Network and Nutritional Value of Congregate Meal Programs: Differences by Sexual Orientation,2014-11-06 00:00:00,Journal,Journal of Applied Gerontology,35(9),0733-4648,SAGE Journals,No,Yes,,,https://doi.org/10.1177/0733464814546042,0.89,,,,,153.0,3.0,,2.0,2018-07-05,1.992
"Ory, M. G.","Smith, M. L.",Evidence-Based Programming for Older Adults,2015-06-17 00:00:00,Book,Frontiers Media,,,Google Books,Yes,,"Administration on Aging: Chronic Disease Self-Management Program (CDSMP) Process Evaluation. Report No. HHSP233201100492G [AoA];
About ACL [ACL, web];
Older Americans Act (OAA) Reauthorization [ACL, web];
Disease Prevention and Health Promotion Services (OAA Title IIID) [ACL];
Evidence-Based Prevention Program [ACL, web]","""HHSP233201100492G""",https://books.google.com/books?id=gXG5CgAAQBAJ&dq=HHSP233201100492G&source=gbs_navlinks_s,,,,29450000,2.0,,,,,2018-07-02,
"Dattalo, M.","Wise, M., Ford Li, J. H., Abramson, B., & Mahoney, J.",Essential Resources for Implementation and Sustainability of Evidence-Based Health Promotion Programs: A Mixed Methods Multi-Site Case Study,2017-04-01 00:00:00,Journal,Journal of Community Health,42(2),1573-3610,PubMed,Yes,,"Administration on Aging [ACL, web];
Administration on Aging (AoA) Disease Prevention and Health Promotion Services (OAA Title IIID) [ACL, web]",,https://link.springer.com/article/10.1007%2Fs10900-016-0263-x,1.11,,,,,,1.0,779.0,1.0,2018-07-05,
"Griffore, R. J.","Barboza, G. E., Mastin, T., Oehmke, J., Schiamberg, L. B., & Post, L. A.",Family Members' Reports of Abuse in Michigan Nursing Homes,2009-04-03 00:00:00,Journal,Journal of Elder Abuse & Neglect,21(2),0894-6566,T and F Online,Yes,,"National Ombudsman Reporting System (NORS) 2000-2005 Aging Integrated Database (AGID);
National Ombudsman Reporting System (NORS) 2003 Data Tables, Table B-2",,https://doi.org/10.1080/08946560902779910,2.83,,,,,558.0,15.0,,0.0,2018-07-09,1.3330000000000002
"Millen, B. E.","Nason, C. A.",Creating a Continuum of Nutrition Services for the Older Population,2004,Book,Handbook of Clinical Nutrition and Aging,,,Springer Link,Yes,,"A Profile of Older Americans 2000 [AoA, web];
Serving Elders at Risk: The Older Americans Act Nutrition Programs, National Evaluation of the Elderly Nutrition Program, 1993-1995 [AoA, Mathematica];
The Elderly Nutrition Program [AoA, web];
Resources and Information about the Older Americans Act Amendments of 2000 [AoA, web];
National Aging Program Information System (NAPIS);
State Program Reports (SPR)","""State Program Reports"" AND ""OAA"" AND ""NAPIS""",https://doi.org/10.1007/978-1-59259-391-0_2,,,,18440000,2.28,,,155.0,,2018-06-27,
"Teaster, P. B.","Wangmo, T., & Anetzberger, G. J.",A Glass Half Full: The Dubious History of Elder Abuse Policy,2010-03-31 00:00:00,Journal,Journal of Elder Abuse & Neglect,22(1-2),0894-6566,T and F Online,Yes,,"The 2004 Survey of State Adult Protective Services: Abuse of Adults 60 Years of Age and Older [AoA, NCEA];
A Response to the Abuse of Vulnerable Adults: the 2000 Survey of State Adult Protective Services [AoA, NCEA]",,https://doi.org/10.1080/08946560903436130,2.83,,,,,1709.0,17.0,,0.0,2018-07-09,1.3330000000000002
"Roseman, M. G.",,Food Safety Perceptions and Behaviors of Participants in Congregate-Meal and Home-Delivered-Meal Programs,2007-09-01 00:00:00,Journal,Journal of Environmental Health,70(2),0022-0892,ProQuest,Yes,N,"National Aging Program Information System (NAPIS) 2005;
2003 State Program Report (SPR) Tables and Reports;
The Growth of America's Older Population [AoA];
Fact Sheet on Elderly Nutrition Program [AoA];
A Profile of Older Americans: 2001 [AoA]","""NAPIS""",https://search.proquest.com/openview/a3389cd7ff37332af36e09b18e8b6db8/1?pq-origsite=gscholar&cbl=34757,0.48,,,,,50.0,18.0,,,2018-06-28,0.85
"Cox, C.","Bylina, M., Krogmann, E., & Krambeck H.",Facilitating Transition from Hospital Stay to Nursing Home Admission: a Hospital-Based Long-Term Care Ombudsman Program,2009-10-14 00:00:00,Journal,Journal of Gerontological Social Work,52(8),0163-4372,T and F Online,Yes,,2007 National Ombudsman Reporting System (NORS) Data Tables,,https://doi.org/10.1080/01634370903126711,0.8,,,,,352.0,2.0,,0.0,2018-07-09,
"Krout, J. A.","Kinner, M.",Sustaining Geriatric Rural Populations,2007,Book Chapter,Conversations in the Disciplines: Sustaining Rural Populations,,,Google Books,No,N,,"""NSOAAP""",https://books.google.com/books?hl=en&lr=&id=rZbovERSNecC&oi=fnd&pg=PA63&dq=%22National+Survey+of+Area+Agencies+on+Aging%22+AND+%22data%22&ots=E7ioI319ML&sig=O7oEZOOC3VxZak1z2LzNoDNn5ec#v=onepage&q&f=false,,,,29450000,2.0,,,,,2018-06-28,
"Dabelko, H. I.",,Individual and Environmental Factors that Influence Length of Stay in Adult Day Health Care Programs,2008-09-24 00:00:00,Journal,Journal of Gerontological Social Work,43(1),0163-4372,T and F Online,Yes,,"Older Adults and Mental Health: Issues and Opportunities [AoA];
Older Americans Act Appropriation Information [AoA, web]","""NAPIS""",https://doi.org/10.1300/J083v43n01_07,0.8,,,,,124.0,5.0,,0.0,2018-06-28,
"Jogerst, G.","Daly, J., & Hartz, A.",Ombudsman Program Characteristics Related to Nursing Home Abuse Reporting,2008-09-22 00:00:00,Journal,Journal of Gerontological Social Work,46(1),0163-4372,T and F Online,Yes,,"Long-Term Care Ombudsman Program Complaint Codes [AoA];
LTC Ombudsman Reports & National, State Data [AoA]",,https://doi.org/10.1300/J083v46n01_06,0.8,,,,,432.0,12.0,,0.0,2018-07-09,
"Judd, R. G.","Moore, B. A.",Aging in Poverty: Making the Case for Comprehensive Care Management,2011-10-03 00:00:00,Journal,Journal of Gerontological Social Work,54(7),0163-4372,T and F Online,Yes,,"A Profile of Older Americans: 2008 [AoA];
A Profile of Older Americans [AoA];
The Aging Services Network: Broad Mandate and Increasing Responsibilities [AoA]",,https://doi.org/10.1080/01634372.2011.583332,0.8,,,,,1400.0,9.0,,0.0,2018-07-06,
"Okafor, M. C.",,Avenues and Barriers to Access of Services for Immigrant Elders: State and Local Policies for OAA Units on Aging,2009-06-06 00:00:00,Journal,Journal of Gerontological Social Work,52(5),0163-4372,T and F Online,Yes,,"The Aging Network: Questions and Answers about the National Aging Program Information System State Performance Reports (SPR);
FY 2004 State Performance Reports (SPR) for Title III of the Older Americans Act;
Historical Evolution of Programs for Older Americans [AoA];
The Aging Network: Information Memoranda [AoA];
Executive Order 13166: Improving Access to Services for Persons with Limited English Proficiency [AoA]","""NAPIS""",https://doi.org/10.1080/01634370902983310,0.8,,,,,403.0,1.0,,0.0,2018-07-02,
"Turner, J. J.","Adams-Price, C. E., & Strawderman, L.",Formal Alternative Transportation Options for Older Adults: An Assessment of Need,2017-10-27 00:00:00,Journal,Journal of Gerontological Social Work,60(8),0163-4372,T and F Online,Yes,,"Aging Integrated Database (AGID);
Administration on Aging (AoA): Home & Community Based Long-Term Care [ACL]","""AGID"" AND ""ACL""",https://doi.org/10.1080/01634372.2017.1375590,0.8,,,,,229.0,0.0,,2.0,2018-06-19,
"Dunkle, J. S.",,Indifference to the Difference? Older Lesbian and Gay Men's Perceptions of Aging Services,2018-03-15 00:00:00,Journal,Journal of Gerontological Social Work,61(4),0163-4372,NCBI,No,Yes,,,https://doi.org/10.1080/01634372.2018.1451939,0.8,,,,,70.0,0.0,,1.0,2018-07-05,
"Goins, R. T.","Bogart, A., & Roubideaux, Y.",Service Provider Perceptions of Long-Term Care Access in American Indian and Alaskan Native Communities,2010-11-01 00:00:00,Journal,Journal of Health Care for the Poor and Underserved,21(4),1049-2089,Project Muse,No,Yes,,,http://muse.jhu.edu/article/400773,1.28,,,,,12.0,6.0,,,2018-07-05,0.86
"Thomas, K. S.","Mor, V.",The Relationship between Older Americans Act Title III State Expenditures and Prevalence of Low-Care Nursing Residents,`,Research Brief,Health Services Research,,,Wiley Online Library,Yes,N,"Nutrition Services (OAA Title IIIC) [AoA, web];
Aging in Place: Do Older Americans Act Title III Services Reach Those Most Likely to Enter Nursing Homes [AoA, Mathematica]","""State Program Reports"" AND ""OAA"" ",https://doi.org/10.1111/1475-6773.12015,,,,21070000,2.58,,22.0,,,2018-06-26,
"Croghan, C. F.","Moone, R. P., & Olson, A. M.","Friends, Family, and Caregiving Among Midlife and Older Lesbian, Gay, Bisexual, and Transgender Adults",2013-08-28 00:00:00,Journal,Journal of Homosexuality,61(1),0091-8369,T and F Online,Yes,,No,"""NSOAAP"" AND ""National Survey of Area Agencies on Aging""",https://doi.org/10.1080/00918369.2013.835238,,,,,,1220.0,23.0,,5.0,2018-06-28,1.277
"Quigley, K. K.","Hermann, J. R., & Warde, W. D.",Nutritional Risk among Oklahoma Congregate Meal Participants,2008-03-01 00:00:00,Journal,Journal of Nutrition Education and Behavior,40(2),1499-4046,Journal of Nutrition Education and Behavior,Yes,,No,,https://doi.org/10.1016/j.jneb.2007.08.014,,,,,,12.0,9.0,50.0,,2018-07-09,2.571
"Bengle, R.","Sinnett, S., Johnson, T., Johnson, M. A., Brown, A., & Lee, J. S.","Food Insecurity is Associated with Cost-Related Medication Non-Adherence in Community-Dwelling, Low-Income Older Adults in Georgia",2010-05-14 00:00:00,Journal,Journal of Nutrition for the Elderly,29(2),0163-9366,T and F Online,Yes,,"Older Americans Update 2008: Key Indicators of Well-Being [AoA];
Performance Outcomes Measurement Project [AoA];
Unofficial Compilation of the Older Americans Act of 1965, As Amended in 2006 (Public Law 109-365) [AoA, web];
Top Story: Vice President Biden Announces Release of Nearly $100 Million in Recovery Act Funding to Support Senior Nutrition Programs [AoA];
AoA FY 2009 Budget Signed into Law $78 Million More to Support Home and Community-Based Services for Older Americans [AoA, press]",,https://doi.org/10.1080/01639361003772400,1.64,,,,,375.0,38.0,,3.0,2018-07-06,
"Brewer, D. P.","Catlett, C. S., Porter, K. N., Lee, J. S., Hausman, D. B., Reddy, S., & Johnson, M. A.",Physical Limitations Contribute to Food Insecurity and the Food Insecurity-Obesity Paradox in Older Adults at Senior Centers in Georgia,2010-05-14 00:00:00,Journal,Journal of Nutrition for the Elderly,29(2),0163-9366,T and F Online,Yes,,"FY 2006 US Profile of OAA Programs [AoA];
Older Americans Act of 1965 as Amended in 2006 (unofficial compilation). Title III, Part A -- Purpose [AoA]",,https://doi.org/10.1080/01639361003772343,1.64,,,,,524.0,36.0,,0.0,2018-07-09,
"Johnson, M. A.","Fischer, J. G., & Park, S.",Vitamin D Deficiency and Insufficiency in the Georgia Older Americans Nutrition Program,2008-10-11 00:00:00,Journal,Journal of Nutrition for the Elderly,27(1-2),0163-9366,T and F Online,Yes,,"Serving Elders at Risk: The Older Americans Act Nutrition Programs -- National Evaluation of the Elderly Nutrition Program, 1993-1995, Volumes 1 and II: Title VI Evaluation Findings [AoA]",,https://doi.org/10.1080/01639360802059704,1.64,,,,,133.0,14.0,,0.0,2018-07-09,
"Estes, C. L.","Zulman, D. M., Goldberg, S. C., & Ogawa, D. D.",Effectiveness of the State Long Term Care Ombudsman Programs,2001-06-01 00:00:00,Research Brief,Institute for Health & Aging,,,LTC Ombudsman .org,Yes,,"Long-Term Care Ombudsman Report FY 1998: with Comparisons of national Data for FY 1996-98 [AoA];
Preliminary Data from the NORS, FY 1999 [AoA];
Coordination between Long-Term Care Ombudsman and Adult Protective Services Programs and Related Issues [AoA];
Real People, Real Problems: An Evaluation of the Long-Term Care Ombudsman Program of the Older Americans Act [AoA, IoM]","""State Program Reports"" AND ""OAA"" ",http://ltcombudsman.org/uploads/files/library/Effectiveness-of-the-State-LTC-Omb-Programs-Estes.pdf,,,2498861,5755,2.7,,,,,2018-06-28,
"Pelts, M. D.",,A Study of Intergroup Contact Theory: Using Storytelling to Increase Awareness of Lesbian and Gay Older Adults in Long-Term Care Settings,2015,Academic Thesis,University of Missouri,,,Mospace,Yes,,No,"""National Survey of Area Agencies on Aging""",https://mospace.umsystem.edu/xmlui/handle/10355/57777,,,,,,,,,,2018-06-28,
"McCabe-Sellers, B. J.","Sharkey, J. R., & Browne, B. A.",Diuretic Medication Therapy Use and Low Thiamin Intake in Homebound Older Adults,2008-10-05 00:00:00,Journal,Journal of Nutrition for the Elderly,24(4),0163-9366,T and F Online,Yes,,"National Aging Program Information System (NAPIS);
Serving Elders at Risk: The Older Americans Act Nutrition Programs, National Evaluation of the Elderly Nutrition Program, 1993-1995 [AoA, Mathematica]","""NAPIS""",https://www.tandfonline.com/doi/abs/10.1300/J052v24n04_06,1.64,,,,,30.0,8.0,,0.0,2018-07-02,
"Mower, M. T.",,Designing and Implementing Ethnic Congregate Nutrition Pograms for Older Americans,2008-10-11 00:00:00,Journal,Journal of Nutrition for the Elderly,27(3-4),0163-9366,T and F Online,Yes,,"Serving Elders at Risk: The Older American Act Nutrition Programs, National Evaluation of the Elderly Nutrition Program 1993-1995 Volume 1: Title III Evaluation Findings [AoA, Mathematica]",,https://doi.org/10.1080/01639360802265954,1.64,,,,,136.0,1.0,,0.0,2018-07-09,
"Sahyoun, N. R.","Anyanwu, U. O., Sharkey, J. R., & Netterville, L.",Recently Hospital-Discharged Older Adults are Vulnerable and May Be Underserved by the Older Americans Act Nutrition Program,2010-05-14 00:00:00,Journal,Journal of Nutrition for the Elderly,29(2),0163-9366,T and F Online,Yes,,"Emotional Well-Being Survey. Performance Measures Project (POMP) 4 [AoA];
Highlights from the Pilot Study: First National Survey of Older Americans Act Title III Service Recipients -- Paper No. 2 [AoA];
Modernizing Older Americans Act Programs [AoA];
National Participants Survey (2004) [AoA]",,https://doi.org/10.1080/01639361003772608,1.64,,,,,223.0,10.0,,0.0,2018-07-06,
"Sahyoun, N. R.","Akobundu, U., Coray, K., & Netterville, L.",Challenges in the Delivery of Nutrition Services to Hospital Discharged Older Adults: The Community Connections Demonstration Project,2009-06-16 00:00:00,Journal,Journal of Nutrition for the Elderly,28(2),0163-9366,T and F Online,Yes,,"Unofficial Compilation of the Older Americans Act of 1965, as Amended in 2006 (Public Law 109-365) [ACL];
Serving Elders at Risk. The Older Americans Act Nutrition Programs: National Evaluation of the Elderly Nutrition Program 1993-1995 [AoA, Mathematica];
Highlights from the Pilot Study: First National Survey of Older Americans Act Title III Service Recipients. Paper No. 2 [AoA]",,https://doi.org/10.1080/01639360902950133,1.64,,,,,161.0,10.0,,0.0,2018-07-09,
,,Chronic Disease Self-Management Program (CDSMP): Sustainability Plan and Implementation Plan,2015-08-31 00:00:00,State Document,Kentucky Department for Aging and Independent Living,,,NCOA,Yes,,Chronic Disease Self-Management (CDSMP) Process Evaluation [AoA],"""HHSP233201100492G""",https://www.ncoa.org/wp-content/uploads/KY-business-plan-2015.pdf,,,293799,84332,1.95,,,,,2018-07-02,
"Sharkey, J. R.",,Nutrition Risk Screening,2008-09-22 00:00:00,Journal,Journal of Nutrition for the Elderly,24(1),0163-9366,T and F Online,Yes,,"National Aging Program Information System (NAPIS);
Serving Elders at Risk: The Older Americans Act Nutrition Programs, National Evaluation of the Elderly Nutrition Program, 1993-1995 [AoA, Mathematica]","""NAPIS""",https://www.tandfonline.com/doi/abs/10.1300/J052v24n01_02,1.64,,,,,182.0,17.0,,0.0,2018-06-28,
Centers for Disease Control and Prevention (CDC)..,,"Social support and health-related quality of life among older adults--Missouri, 2000.",2005-05-06 00:00:00,State Document,Morbitity and Mortality Weekly Report,54(17),,Centers for Disease Control and Prevention,Yes,,"Services for Seniors [AoA, web]",,https://www.cdc.gov/mmwr/preview/mmwrhtml/mm5417a4.htm,,,3289,14480000,2.73,,,,,2018-07-09,
"Sinnett, S.","Bengle, R., Brown, A., Glass, A. P., Johnson, M. A., Lee, J. S.",The Validity of Nutrition Screening Initiative DETERMINE Checklist Responses in Older Georgians,2010-11-20 00:00:00,Journal,Journal of Nutrition for the Elderly,29(4),0163-9366,T and F Online,Yes,,"Performance Outcomes Measurement Project (POMP) 5 Home Delivered Meals Extended Core Survey (phone version: April 19, 2004) [AoA];
Performance Outcomes Measures Project Archive [AoA];
PRODUCED BY AOA GRANT NO. 427-93-08081298-99",,https://doi.org/10.1080/01639366.2010.521031,1.64,,,,,426.0,6.0,,0.0,2018-07-06,
"Bobroff, L. B.","Turner, E., Weddle, D. O., Brake, J. H., Lierberman, L. S., & Allen, T. B.",Interactive Learning for Congregate Nutrition Site Nurtrition Education: A Pilot Study,2003,Journal,Journal of Nutrition for the Elderly,23(1),0163-9366,PubMed,No,Yes,,,https://doi.org/10.1300/J052v23n01_06,1.64,,,,,78.0,3.0,,0.0,2018-07-05,
"Quigley, K. K.","Hermann, J. R., & Warde, W. D.","Factors Associated with Oklahoma Older Americans Act Nutrition Program Participants Ability to Shop, Cook, and Feed Themselves",2005,Journal,Journal of Nutrition for the Elderly,25(2),0163-9366,PubMed,No,Yes,,,https://www.ncbi.nlm.nih.gov/pubmed/17182467,1.64,,,,,,3.0,,,2018-07-05,
"Grant, R.",,Long Term Care Ombudsman Program Effectiveness: Building Strong Advocacy,n. d.,Research Brief,NASOP,,,LTC Ombudsman .org,Yes,,National Ombudsman Reporting System (NORS) 2000,"""NORS"" AND ""OAA""",http://ltcombudsman.org/uploads/files/support/program-effectiveness.pdf,,,2498861,5755,2.7,,,,,2018-06-27,
"National Academy of Sciences, Engineering, and Medicine",,Exploring Data and Metrics of Value at the Intersection of Health Care and Transportation: Proceedings of a Workshop,2016-11-28 00:00:00,Book,National Academies Press,,,Google Books,Yes,,"Aging Integrated Database (AGID);
State Program Reports (SPR);
Title VI Services by Tribal Organization","""Title VI Services by Tribal Organization"" AND ""National Survey of Area Agencies on Aging""",https://books.google.com/books?id=igMkDgAAQBAJ&dq=%22Title+VI+Services+by+Tribal+Organization%22+AND+%22data%22&source=gbs_navlinks_s,,,,29450000,2.0,,,,,2018-06-28,
"Sellers, T.","Andress, E., Fischer, J. G., & Johnson, M. A.",Home Food Safety Program for the Georgia Older Americans Act Nutrition Program,2006,Journal,Journal of Nutrition for the Elderly,26(1-2),0163-9366,PubMed,No,Yes,,,https://doi.org/10.1300/J052v26n01_06,1.64,,,,,60.0,6.0,,0.0,2018-07-05,
"Akobundu, U. O.","Netterville, L.","Meeting the Training Needs of Aging Network Nutrition Program Professionals: Past, Present, and Future",2015-06-24 00:00:00,Journal,Journal of Nutrition in Gerontology and Geriatrics,34(2),2155-1197,T and F Online,Yes,,"A Profile of Older Americans [ACL];
Older Americans Act Nutrition Programs Standards and Guidelines [AoA];
Older Americans Act Nutrition Programs: Training and Best Practices [AoA]",,https://doi.org/10.1080/21551197.2015.1031593,2.0,,,,,302.0,1.0,,1.0,2018-07-06,
"Buys, D. R.","Borch, C. Kilgore, M., Zizza, C. A., & Locher, J. L.",A State-Level Examination of the Association Between Home and Community-Based Services and Rates of Nursing Home Residency with Special Attention to Nutrition Programs,2012-11-16 00:00:00,Journal,Journal of Nutrition in Gerontology and Geriatrics,31(4),2155-1197,T and F Online,Yes,,"Mission Statement [AoA, web];
Unofficial Compilation of the Older Americans Act of 1965, as Amended in 2006 [AoA, web];
Nutrition: Evaluations Report [AoA];
FY 2008 U.S. Profile of OAA Programs [AoA, web];
Evaluation of Title III-C Nutrition Services and Title VI Native American Nutrition, Supportive and Family Caregiver Services Programs -- Begun Summer 2005 [AoA];
Evaluation of the Federal Elderly Nutrition Program [AoA, Mathematica];
Aging Integrated Database (AGID)","""State Program Reports"" AND ""OAA"" ",https://doi.org/10.1080/21551197.2012.722068,2.0,,,,,221.0,3.0,,0.0,2018-06-27,
